feature,mean_importance
thall,-0.012940133312489166
caa,-0.0018755520223554755
exng,-0.0015160963921593607
slp,0.00027795397877414805
oldpeak,0.0003320267079155892
fbs,0.0004111024954639664
cp,0.001472963409419248
output,0.0018850197970238125
restecg,0.013097176050043968
trtbps,0.01513255030214571
thalachh,0.019425632375981893
age,0.03709387746286556
sex,0.05704517033326756
